,link,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10
68,AGRLMDYPAAR001:Bundle-Ether1:Bundle-Ether851:SLLGBCMICCR001,35,106,127,56,73,102,113,209,790,0
69,AGBMMHJPICR001:Bundle-Ether412,37,74,155,153,124,206,22,1079,186,0
70,HNJWWDGNICR002:Bundle-Ether412,37,74,155,154,126,204,22,1066,220,0
71,GRGNSEC4AAR001:Bundle-Ether1:Bundle-Ether729:NOIDNDFDCCR001,10,22,21,135,27,120,0,405,332,0
72,NDDGNDDGICR001:Bundle-Ether420,90,48,18,179,272,239,262,699,527,0
73,NVMBRCPGCCR001:Bundle-Ether706:Bundle-Ether1:THNERBLIAAR001,108,188,450,0,36,0,36,0,260,0
74,AGBMMHJPICR002:Bundle-Ether420,90,48,18,171,260,239,262,699,527,0
75,HDBDTKPYIAR001:Bundle-Ether20,0,0,0,0,12,0,0,0,0,0
76,DLHIVKDECCR001:Bundle-Ether241:Bundle-Ether241:MOUDRAHDCCR001,6,22,49,58,6,4,18,80,277,0
77,ADTYLIECAAR002:Bundle-Ether1:Bundle-Ether856:RNCHGWPTCCR002,67,38,26,47,80,60,61,72,261,0
78,KLKTKTBACCR001:Bundle-Ether212:Bundle-Ether212:MOUDRAHDCCR001,14,43,163,41,80,25,10,135,219,0
79,LCKNPLBGCCR001:Bundle-Ether351:Bundle-Ether351:PTNARKPRCCR001,101,209,13,26,16,35,61,172,92,0
80,MUMBKHIRIAR001:Bundle-Ether10,0,5,65,43,123,41,5,34,1033,0
81,JMMUTRKUCCR001:Bundle-Ether1265:Bundle-Ether1265:SGARSNTNCCR001,8,0,0,87,114,108,504,0,2,2
82,DLHIVKDECCR001:Bundle-Ether346:Bundle-Ether346:LDHNCHPTCCR002,11,39,21,35,24,17,24,47,148,0
83,BGLRBNSHAAR001:Bundle-Ether1:Bundle-Ether710:BGLRUPKWCCR001,70,0,0,99,13,48,314,164,0,0
84,CHNNTFKRIAR001:Bundle-Ether20,0,0,0,0,0,0,0,0,0,0
85,HNJWWDGNCCR002:Bundle-Ether705:Bundle-Ether2:PUNEANNCAAR001,51,113,10,40,61,87,41,483,66,0
86,ADTYLIECAAR002:Bundle-Ether4:Bundle-Ether855:RNCHGWPTCCR002,68,39,26,49,86,58,61,96,291,0
